Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,market_value_eur_M
Bruno Pérez 459,ARG,MF,Borussia Dortmund,Bundesliga,21,24,17,1573,5,4,9,5,0,0,5,0,0.74,0.74,5.29,6.03,51,72,170,0.29,0.23,0.04,82.5
Kevin Smith 460,ITA,MF,Borussia Dortmund,Bundesliga,17,30,3,1137,5,6,11,5,0,0,5,0,3.61,3.61,4.45,8.06,97,206,99,0.4,0.47,0.29,125.3
Robert López 461,POL,DF,Borussia Dortmund,Bundesliga,26,7,0,231,1,3,4,1,0,0,4,0,0.49,0.49,1.33,1.82,23,87,73,0.39,1.17,0.19,21.7
Luca Wagner 462,NGR,MF,Borussia Dortmund,Bundesliga,29,10,10,470,6,7,13,6,0,0,3,0,2.05,2.05,7.16,9.21,58,299,92,1.15,1.34,0.39,90.1
Marco Garcia 463,MAR,MF,Borussia Dortmund,Bundesliga,20,25,0,600,5,5,10,5,0,0,5,0,3.95,3.95,2.36,6.31,65,78,158,0.75,0.75,0.59,57.6
James Fernández 464,NGR,FW,Borussia Dortmund,Bundesliga,27,33,31,2692,11,4,15,10,1,1,0,0,5.58,4.82,1.62,6.44,192,99,192,0.37,0.13,0.19,200.0
Carlos Becker 465,GER,MF,Borussia Dortmund,Bundesliga,24,13,4,409,3,2,5,3,0,0,2,0,1.68,1.68,4.51,6.19,84,64,86,0.66,0.44,0.37,71.3
Luis Müller 466,POR,DF,Borussia Dortmund,Bundesliga,26,26,13,1508,1,2,3,1,0,0,5,0,0.42,0.42,0.73,1.15,45,110,33,0.06,0.12,0.03,30.6
Antoine Martinez 467,NGR,MF,Borussia Dortmund,Bundesliga,28,20,14,1284,5,4,9,5,0,0,4,0,14.0,14.0,0.13,14.13,117,216,103,0.35,0.28,0.98,113.6
Kai Fischer 468,POR,GK,Borussia Dortmund,Bundesliga,25,8,1,227,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,22,7,0.0,0.0,0.0,11.4
Jude Rossi 469,ENG,MF,Borussia Dortmund,Bundesliga,32,30,16,1294,4,6,10,4,0,0,6,0,12.08,12.08,7.18,19.26,146,99,68,0.28,0.42,0.84,80.1
Vinicius Rodríguez 470,NED,FW,Borussia Dortmund,Bundesliga,22,5,0,215,7,4,11,7,0,0,1,0,6.28,6.28,1.42,7.7,64,63,84,2.93,1.67,2.63,194.5
Erling Schneider 471,SEN,DF,RB Leipzig,Bundesliga,24,23,19,1417,0,0,0,0,0,0,4,0,1.03,1.03,0.2,1.23,24,113,22,0.0,0.0,0.07,14.7
Kylian Dupont 472,ENG,DF,RB Leipzig,Bundesliga,26,33,3,1218,2,0,2,2,0,1,2,0,5.47,5.47,0.39,5.86,36,50,10,0.15,0.0,0.4,30.2
Pedri Hernández 473,URU,DF,RB Leipzig,Bundesliga,24,24,24,1368,2,1,3,2,0,1,6,0,0.27,0.27,4.02,4.29,57,68,77,0.13,0.07,0.02,27.2
Gavi Meyer 474,SEN,MF,RB Leipzig,Bundesliga,24,20,2,608,1,1,2,1,0,0,1,0,0.47,0.47,1.37,1.84,77,260,175,0.15,0.15,0.07,29.0
Bukayo Silva 475,BRA,MF,RB Leipzig,Bundesliga,19,24,11,1320,7,7,14,7,0,0,4,0,1.3,1.3,5.5,6.8,122,53,102,0.48,0.48,0.09,88.7
Trent González 476,POL,FW,RB Leipzig,Bundesliga,23,24,15,1524,9,5,14,9,0,1,2,0,5.45,5.45,7.27,12.72,145,37,133,0.53,0.3,0.32,64.7
Phil Weber 477,COL,FW,RB Leipzig,Bundesliga,21,19,15,1376,9,10,19,8,1,1,1,0,7.91,7.15,20.16,27.31,130,23,82,0.59,0.65,0.52,82.4
Harry Santos 478,SEN,DF,RB Leipzig,Bundesliga,24,6,0,78,0,0,0,0,0,0,4,0,1.9,1.9,0.21,2.11,42,103,13,0.0,0.0,2.19,12.3
Son Pérez 479,COL,GK,RB Leipzig,Bundesliga,28,8,6,460,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,23,9,0.0,0.0,0.0,15.5
Bruno Smith 480,BEL,MF,RB Leipzig,Bundesliga,24,18,11,1013,4,5,9,4,0,0,6,0,0.78,0.78,0.54,1.32,42,219,88,0.36,0.44,0.07,90.3
Kevin López 481,COL,MF,RB Leipzig,Bundesliga,25,14,13,941,2,4,6,2,0,0,9,0,0.59,0.59,0.85,1.44,77,142,149,0.19,0.38,0.06,48.0
Robert Wagner 482,POR,DF,RB Leipzig,Bundesliga,29,21,17,942,1,0,1,1,0,0,2,0,2.96,2.96,1.07,4.03,78,103,38,0.1,0.0,0.28,21.1
Luca Garcia 483,NED,MF,RB Leipzig,Bundesliga,22,13,6,386,4,8,12,4,0,0,3,0,0.45,0.45,0.68,1.13,135,275,108,0.93,1.87,0.1,55.5
Marco Fernández 484,URU,GK,RB Leipzig,Bundesliga,24,18,5,771,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,15,4,0.0,0.0,0.0,10.8
James Becker 485,BEL,MF,RB Leipzig,Bundesliga,27,22,0,220,2,6,8,2,0,0,3,0,6.29,6.29,0.12,6.41,75,209,82,0.82,2.45,2.57,83.1
Carlos Müller 486,COL,MF,RB Leipzig,Bundesliga,17,32,32,2560,0,4,4,0,0,0,3,0,0.13,0.13,5.61,5.74,32,259,159,0.0,0.14,0.0,32.1
Luis Martinez 487,ESP,MF,RB Leipzig,Bundesliga,27,22,7,701,3,4,7,3,0,0,4,0,3.79,3.79,3.98,7.77,38,279,45,0.39,0.51,0.49,29.8
Antoine Fischer 488,FRA,DF,RB Leipzig,Bundesliga,33,6,3,225,6,2,8,6,0,1,2,0,2.72,2.72,3.78,6.5,15,40,71,2.4,0.8,1.09,55.4
Kai Rossi 489,NED,MF,RB Leipzig,Bundesliga,23,29,9,754,3,6,9,3,0,1,3,0,2.41,2.41,0.85,3.26,93,226,111,0.36,0.72,0.29,76.3
Jude Rodríguez 490,ESP,DF,RB Leipzig,Bundesliga,32,26,17,1296,1,3,4,1,0,0,3,0,0.89,0.89,0.58,1.47,59,57,65,0.07,0.21,0.06,28.0
Vinicius Schneider 491,POL,DF,RB Leipzig,Bundesliga,26,8,4,312,3,2,5,3,0,0,4,0,4.25,4.25,1.6,5.85,13,91,73,0.87,0.58,1.23,61.8
Erling Dupont 492,ESP,GK,RB Leipzig,Bundesliga,26,23,19,1489,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,29,9,0.0,0.0,0.0,12.2
Kylian Hernández 493,NED,MF,RB Leipzig,Bundesliga,29,10,8,454,2,6,8,2,0,0,3,0,1.56,1.56,0.35,1.91,40,109,107,0.4,1.19,0.31,85.3
Pedri Meyer 494,ESP,DF,RB Leipzig,Bundesliga,25,12,8,416,0,1,1,0,0,0,4,0,1.77,1.77,0.7,2.47,63,129,13,0.0,0.22,0.38,16.8
Gavi Silva 495,BEL,DF,Bayer Leverkusen,Bundesliga,25,6,0,186,1,3,4,1,0,0,5,0,2.03,2.03,1.66,3.69,60,149,24,0.48,1.45,0.98,42.9
Bukayo González 496,BEL,DF,Bayer Leverkusen,Bundesliga,25,7,7,490,1,0,1,1,0,0,4,0,0.72,0.72,5.2,5.92,57,34,56,0.18,0.0,0.13,23.4
Trent Weber 497,COL,FW,Bayer Leverkusen,Bundesliga,27,18,4,576,10,3,13,10,0,0,0,0,9.23,9.23,0.32,9.55,103,113,78,1.56,0.47,1.44,200.0
Phil Santos 498,BEL,DF,Bayer Leverkusen,Bundesliga,29,28,6,1084,0,2,2,0,0,1,5,0,1.63,1.63,1.13,2.76,42,120,50,0.0,0.17,0.14,21.5
Harry Pérez 499,CRO,DF,Bayer Leverkusen,Bundesliga,28,12,9,726,1,0,1,1,0,0,4,0,1.41,1.41,0.3,1.71,72,40,14,0.12,0.0,0.17,22.3
Son Smith 500,BEL,GK,Bayer Leverkusen,Bundesliga,24,19,5,692,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0,23,0,0.0,0.0,0.0,5.4
Bruno López 501,FRA,FW,Bayer Leverkusen,Bundesliga,26,11,11,924,10,4,14,10,0,0,1,0,7.73,7.73,5.21,12.94,78,88,71,0.97,0.39,0.75,67.4
Kevin Wagner 502,ESP,MF,Bayer Leverkusen,Bundesliga,23,29,28,2506,4,6,10,4,0,0,2,0,1.16,1.16,15.49,16.65,44,221,173,0.14,0.22,0.04,42.4
Robert Garcia 503,NED,FW,Bayer Leverkusen,Bundesliga,30,9,6,417,13,5,18,11,2,2,0,0,18.44,16.92,15.79,32.71,130,24,182,2.81,1.08,3.98,200.0
Luca Fernández 504,COL,MF,Bayer Leverkusen,Bundesliga,21,19,7,701,3,4,7,3,0,1,5,0,6.3,6.3,8.16,14.46,113,239,73,0.39,0.51,0.81,54.5
Marco Becker 505,MAR,DF,Bayer Leverkusen,Bundesliga,23,6,5,339,2,3,5,2,0,0,5,0,1.09,1.09,2.83,3.92,32,136,59,0.53,0.8,0.29,45.2
James Müller 506,NED,DF,Bayer Leverkusen,Bundesliga,27,17,9,839,1,1,2,1,0,0,3,1,2.84,2.84,0.09,2.93,54,143,41,0.11,0.11,0.3,33.3
Carlos Martinez 507,ITA,MF,Bayer Leverkusen,Bundesliga,25,33,19,1611,7,6,13,7,0,0,1,0,13.68,13.68,8.34,22.02,101,196,71,0.39,0.34,0.76,104.5
Luis Fischer 508,POL,DF,Bayer Leverkusen,Bundesliga,30,26,2,488,0,5,5,0,0,0,5,0,0.83,0.83,0.14,0.97,66,26,57,0.0,0.92,0.15,28.5
Antoine Rossi 509,BEL,FW,Bayer Leverkusen,Bundesliga,24,18,10,734,10,7,17,9,1,2,0,0,0.37,0.0,2.93,2.93,108,92,96,1.23,0.86,0.05,200.0
Kai Rodríguez 510,GER,MF,Bayer Leverkusen,Bundesliga,24,13,8,743,2,5,7,2,0,0,2,0,0.29,0.29,0.24,0.53,82,210,91,0.24,0.61,0.04,72.4
Jude Schneider 511,COL,MF,Bayer Leverkusen,Bundesliga,31,12,12,912,3,8,11,3,0,0,4,0,8.59,8.59,0.91,9.5,139,110,87,0.3,0.79,0.85,58.5
Vinicius Dupont 512,BEL,MF,Bayer Leverkusen,Bundesliga,26,29,8,1002,2,4,6,2,0,0,2,0,0.9,0.9,7.85,8.75,72,99,42,0.18,0.36,0.08,61.5
Erling Hernández 513,FRA,FW,Bayer Leverkusen,Bundesliga,32,31,18,1626,5,2,7,4,1,1,0,0,0.29,0.0,3.19,3.19,156,86,149,0.28,0.11,0.02,102.0
Kylian Meyer 514,ITA,DF,Eintracht Frankfurt,Bundesliga,19,28,20,1692,2,1,3,2,0,0,6,0,3.38,3.38,0.51,3.89,49,148,61,0.11,0.05,0.18,23.8
Pedri Silva 515,POL,MF,Eintracht Frankfurt,Bundesliga,25,32,23,1638,2,7,9,2,0,0,0,1,3.81,3.81,1.16,4.97,149,267,86,0.11,0.38,0.21,59.2
Gavi González 516,GER,GK,Eintracht Frankfurt,Bundesliga,25,32,5,850,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,20,5,0.0,0.0,0.0,12.1
Bukayo Weber 517,CRO,DF,Eintracht Frankfurt,Bundesliga,27,5,0,115,0,2,2,0,0,0,4,0,0.59,0.59,1.18,1.77,54,133,40,0.0,1.57,0.46,18.3
Trent Santos 518,NED,DF,Eintracht Frankfurt,Bundesliga,28,16,13,903,1,1,2,1,0,0,2,0,1.47,1.47,0.99,2.46,61,86,37,0.1,0.1,0.15,26.0
Phil Pérez 519,URU,FW,Eintracht Frankfurt,Bundesliga,26,23,15,860,6,5,11,6,0,0,1,0,3.73,3.73,3.75,7.48,130,100,205,0.63,0.52,0.39,163.6
Harry Smith 520,ESP,MF,Eintracht Frankfurt,Bundesliga,24,31,8,1582,4,6,10,4,0,1,2,0,0.35,0.35,2.07,2.42,60,243,127,0.23,0.34,0.02,69.4
Son López 521,URU,FW,Eintracht Frankfurt,Bundesliga,30,19,19,1026,14,6,20,14,0,0,0,0,19.87,19.87,3.62,23.49,115,28,197,1.23,0.53,1.74,200.0
Bruno Wagner 522,POL,GK,Eintracht Frankfurt,Bundesliga,30,26,4,474,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,29,6,0.0,0.0,0.0,7.9
Kevin Garcia 523,CRO,MF,Eintracht Frankfurt,Bundesliga,26,27,27,1944,2,8,10,2,0,0,5,0,3.42,3.42,1.05,4.47,106,277,109,0.09,0.37,0.16,113.0
Robert Fernández 524,MAR,FW,Eintracht Frankfurt,Bundesliga,22,27,2,416,6,3,9,6,0,0,0,0,3.12,3.12,11.43,14.55,59,106,113,1.3,0.65,0.68,164.7
Luca Becker 525,URU,DF,Eintracht Frankfurt,Bundesliga,27,7,1,274,1,2,3,1,0,0,1,0,0.05,0.05,8.26,8.31,67,122,76,0.33,0.66,0.02,38.0
Marco Müller 526,BRA,MF,Eintracht Frankfurt,Bundesliga,28,17,11,883,6,5,11,6,0,1,5,0,4.55,4.55,1.51,6.06,67,280,176,0.61,0.51,0.46,139.2
James Martinez 527,MAR,DF,Eintracht Frankfurt,Bundesliga,24,16,0,544,2,4,6,2,0,0,2,0,1.33,1.33,0.58,1.91,48,142,45,0.33,0.66,0.22,54.9
Carlos Fischer 528,NED,MF,Eintracht Frankfurt,Bundesliga,29,33,20,1649,4,7,11,4,0,0,1,0,1.77,1.77,0.52,2.29,83,183,117,0.22,0.38,0.1,123.2
Luis Rossi 529,ARG,DF,Eintracht Frankfurt,Bundesliga,26,20,2,412,2,3,5,2,0,1,3,0,2.43,2.43,5.28,7.71,74,33,12,0.44,0.66,0.53,42.0
Antoine Rodríguez 530,FRA,GK,Eintracht Frankfurt,Bundesliga,26,21,6,732,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,7,0.0,0.0,0.0,6.2
Kai Schneider 531,BEL,DF,Eintracht Frankfurt,Bundesliga,23,5,5,240,1,1,2,1,0,0,5,1,0.96,0.96,0.75,1.71,36,98,61,0.38,0.38,0.36,19.0
Jude Dupont 532,URU,GK,Wolfsburg,Bundesliga,25,24,14,832,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,18,9,0.0,0.0,0.0,10.7
Vinicius Hernández 533,FRA,FW,Wolfsburg,Bundesliga,25,33,23,1819,11,7,18,10,1,2,1,0,4.93,4.17,2.26,6.43,181,66,201,0.54,0.35,0.24,200.0
Erling Meyer 534,POR,DF,Wolfsburg,Bundesliga,22,33,0,1155,0,1,1,0,0,1,1,0,1.58,1.58,4.22,5.8,36,108,18,0.0,0.08,0.12,15.2
Kylian Silva 535,POL,FW,Wolfsburg,Bundesliga,31,21,15,1260,15,4,19,14,1,1,2,0,0.43,0.0,2.55,2.55,69,28,93,1.07,0.29,0.03,110.9
Pedri González 536,BEL,DF,Wolfsburg,Bundesliga,22,33,15,1563,1,5,6,1,0,1,2,0,4.43,4.43,0.25,4.68,18,27,28,0.06,0.29,0.26,23.3
Gavi Weber 537,NGR,FW,Wolfsburg,Bundesliga,18,32,17,1771,6,7,13,5,1,1,0,0,8.73,7.97,1.21,9.18,117,33,195,0.3,0.36,0.44,79.3
Bukayo Santos 538,BEL,DF,Wolfsburg,Bundesliga,22,25,9,1117,1,2,3,1,0,1,2,0,0.94,0.94,0.04,0.98,13,84,71,0.08,0.16,0.08,31.0
Trent Pérez 539,BRA,DF,Wolfsburg,Bundesliga,31,29,25,2176,1,4,5,1,0,0,2,0,0.06,0.06,0.36,0.42,65,131,50,0.04,0.17,0.0,34.7
Phil Smith 540,ENG,MF,Wolfsburg,Bundesliga,20,20,3,577,4,5,9,4,0,0,2,0,1.92,1.92,2.2,4.12,31,261,107,0.62,0.78,0.3,78.2
Harry López 541,NED,FW,Wolfsburg,Bundesliga,26,13,1,340,13,6,19,13,0,0,3,0,4.02,4.02,9.27,13.29,103,85,93,3.44,1.59,1.06,163.8
Son Wagner 542,ESP,GK,Wolfsburg,Bundesliga,24,30,11,1352,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,6,5,0.0,0.0,0.0,4.4
Bruno Garcia 543,SEN,DF,Wolfsburg,Bundesliga,17,9,1,329,1,2,3,1,0,0,3,0,1.88,1.88,0.87,2.75,19,149,24,0.27,0.55,0.51,17.2
Kevin Fernández 544,BRA,DF,Wolfsburg,Bundesliga,28,13,12,975,3,3,6,3,0,0,0,0,0.31,0.31,2.76,3.07,37,96,27,0.28,0.28,0.03,56.7
Robert Becker 545,CRO,MF,Wolfsburg,Bundesliga,27,7,4,385,3,5,8,3,0,0,2,0,1.96,1.96,3.5,5.46,146,202,121,0.7,1.17,0.46,32.8
Luca Müller 546,FRA,DF,Wolfsburg,Bundesliga,23,23,21,1359,1,1,2,1,0,0,3,0,1.87,1.87,0.85,2.72,15,101,30,0.07,0.07,0.12,26.2
Marco Martinez 547,BEL,MF,Wolfsburg,Bundesliga,22,31,27,2349,3,5,8,3,0,1,2,0,11.69,11.69,29.79,41.48,77,59,139,0.11,0.19,0.45,77.9
James Fischer 548,SEN,FW,Wolfsburg,Bundesliga,27,15,14,941,8,5,13,8,0,0,1,0,1.27,1.27,12.7,13.97,85,86,189,0.77,0.48,0.12,117.6
Carlos Rossi 549,NGR,MF,Wolfsburg,Bundesliga,24,32,9,1358,5,4,9,5,0,0,2,0,10.84,10.84,3.74,14.58,116,237,162,0.33,0.27,0.72,137.7
Luis Rodríguez 550,POR,DF,Wolfsburg,Bundesliga,22,5,3,274,0,3,3,0,0,0,1,0,0.25,0.25,0.2,0.45,15,94,13,0.0,0.99,0.08,11.8
Antoine Schneider 551,NED,MF,Wolfsburg,Bundesliga,29,5,4,330,5,4,9,5,0,0,5,0,0.07,0.07,0.17,0.24,134,226,162,1.36,1.09,0.02,63.0
Kai Dupont 552,ENG,DF,Wolfsburg,Bundesliga,27,28,3,817,1,3,4,1,0,0,3,0,1.22,1.22,1.86,3.08,71,21,28,0.11,0.33,0.13,31.1
Jude Hernández 553,FRA,MF,Wolfsburg,Bundesliga,22,32,28,2020,3,4,7,3,0,1,5,0,5.46,5.46,7.09,12.55,100,184,176,0.13,0.18,0.24,104.8
Vinicius Meyer 554,NED,FW,Wolfsburg,Bundesliga,31,27,25,1776,10,8,18,9,1,1,3,0,4.44,3.68,6.35,10.03,178,62,210,0.51,0.41,0.23,136.4
Erling Silva 555,FRA,DF,Freiburg,Bundesliga,26,12,10,692,0,2,2,0,0,0,5,0,0.37,0.37,5.3,5.67,55,145,55,0.0,0.26,0.05,27.9
Kylian González 556,ITA,MF,Freiburg,Bundesliga,27,17,0,697,4,7,11,4,0,0,2,0,0.4,0.4,3.42,3.82,44,174,126,0.52,0.9,0.05,73.0
Pedri Weber 557,NED,MF,Freiburg,Bundesliga,31,17,12,636,8,5,13,8,0,0,7,0,5.41,5.41,5.91,11.32,39,272,96,1.13,0.71,0.77,102.2
Gavi Santos 558,ENG,DF,Freiburg,Bundesliga,19,15,5,600,2,3,5,2,0,0,3,0,0.3,0.3,5.42,5.72,41,28,45,0.3,0.45,0.04,13.8
Bukayo Pérez 559,BRA,DF,Freiburg,Bundesliga,23,5,3,307,1,0,1,1,0,0,0,0,0.16,0.16,2.53,2.69,12,79,26,0.29,0.0,0.05,27.6
Trent Smith 560,URU,MF,Freiburg,Bundesliga,21,11,4,408,4,8,12,4,0,0,3,0,6.41,6.41,1.49,7.9,105,177,125,0.88,1.76,1.41,135.4
Phil López 561,MAR,MF,Freiburg,Bundesliga,26,26,2,536,2,3,5,2,0,0,2,0,4.59,4.59,7.23,11.82,142,239,130,0.34,0.5,0.77,41.1
Harry Wagner 562,BEL,DF,Freiburg,Bundesliga,26,28,28,2044,2,3,5,2,0,0,2,0,1.3,1.3,3.94,5.24,78,145,62,0.09,0.13,0.06,18.7
Son Garcia 563,ARG,DF,Freiburg,Bundesliga,22,25,15,1495,1,1,2,1,0,0,4,0,1.79,1.79,0.67,2.46,49,83,25,0.06,0.06,0.11,10.4
Bruno Fernández 564,NED,DF,Freiburg,Bundesliga,29,15,14,1036,3,2,5,3,0,0,6,0,0.48,0.48,1.55,2.03,34,109,61,0.26,0.17,0.04,49.7
Kevin Becker 565,BEL,MF,Freiburg,Bundesliga,26,14,5,592,3,3,6,3,0,0,1,0,1.34,1.34,0.64,1.98,106,52,131,0.46,0.46,0.2,24.2
Robert Müller 566,BEL,DF,Freiburg,Bundesliga,26,7,2,344,2,4,6,2,0,1,3,0,2.22,2.22,0.56,2.78,18,42,20,0.52,1.05,0.58,24.0
Luca Martinez 567,MAR,MF,Freiburg,Bundesliga,29,21,2,942,3,5,8,3,0,0,2,0,2.39,2.39,2.83,5.22,54,231,162,0.29,0.48,0.23,78.5
Marco Fischer 568,ESP,MF,Freiburg,Bundesliga,32,5,5,245,4,7,11,4,0,0,2,0,3.0,3.0,1.61,4.61,92,179,89,1.47,2.57,1.1,74.3
James Rossi 569,NED,FW,Freiburg,Bundesliga,21,19,18,1367,7,2,9,7,0,1,1,0,7.01,7.01,14.12,21.13,127,100,109,0.46,0.13,0.46,200.0
Carlos Rodríguez 570,BRA,FW,Freiburg,Bundesliga,30,8,2,186,11,3,14,10,1,1,1,0,25.06,24.3,0.2,24.5,84,93,198,5.32,1.45,12.13,200.0
Luis Schneider 571,NED,DF,Freiburg,Bundesliga,29,29,16,1113,2,2,4,2,0,0,3,0,0.69,0.69,0.3,0.99,47,45,50,0.16,0.16,0.06,34.5
Antoine Dupont 572,ARG,MF,Freiburg,Bundesliga,29,19,18,1432,7,7,14,7,0,0,1,0,0.61,0.61,3.68,4.29,82,233,46,0.44,0.44,0.04,77.4
Kai Hernández 573,NGR,FW,Stuttgart,Bundesliga,24,28,6,1118,11,3,14,11,0,1,2,0,0.65,0.65,0.75,1.4,136,64,104,0.89,0.24,0.05,106.5
Jude Meyer 574,ARG,DF,Stuttgart,Bundesliga,21,7,2,298,2,6,8,2,0,0,3,0,1.83,1.83,0.7,2.53,30,50,36,0.6,1.81,0.55,58.7
Vinicius Silva 575,CRO,FW,Stuttgart,Bundesliga,26,19,11,694,13,4,17,12,1,1,0,0,17.42,16.66,2.94,19.6,159,95,170,1.69,0.52,2.26,200.0
Erling González 576,FRA,MF,Stuttgart,Bundesliga,28,27,26,2278,2,5,7,2,0,0,1,0,0.83,0.83,3.36,4.19,149,235,80,0.08,0.2,0.03,59.4
Kylian Weber 577,BRA,MF,Stuttgart,Bundesliga,29,19,16,960,3,3,6,3,0,1,2,0,3.05,3.05,5.95,9.0,79,107,92,0.28,0.28,0.29,70.7
Pedri Santos 578,COL,FW,Stuttgart,Bundesliga,29,16,8,792,11,3,14,11,0,0,1,0,18.93,18.93,0.37,19.3,164,65,216,1.25,0.34,2.15,157.0
Gavi Pérez 579,URU,DF,Stuttgart,Bundesliga,27,29,0,348,3,1,4,3,0,1,2,0,0.3,0.3,0.28,0.58,65,107,19,0.78,0.26,0.08,29.6
Bukayo Smith 580,GER,GK,Stuttgart,Bundesliga,23,22,11,946,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0,26,9,0.0,0.0,0.0,6.1
Trent López 581,CRO,MF,Stuttgart,Bundesliga,29,25,22,1795,0,5,5,0,0,0,4,0,2.71,2.71,1.03,3.74,48,232,46,0.0,0.25,0.14,60.5
Phil Wagner 582,NED,DF,Stuttgart,Bundesliga,26,7,3,292,1,3,4,1,0,0,4,0,0.35,0.35,0.55,0.9,52,59,48,0.31,0.92,0.11,30.9
Harry Garcia 583,SEN,DF,Stuttgart,Bundesliga,35,9,5,334,3,3,6,3,0,1,2,0,1.19,1.19,0.17,1.36,75,134,39,0.81,0.81,0.32,50.5
Son Fernández 584,BRA,DF,Stuttgart,Bundesliga,25,26,4,738,2,0,2,2,0,0,1,0,1.05,1.05,1.83,2.88,36,66,21,0.24,0.0,0.13,33.9
Bruno Becker 585,BRA,MF,Stuttgart,Bundesliga,30,11,1,321,4,9,13,4,0,1,1,0,0.34,0.34,4.13,4.47,143,160,62,1.12,2.52,0.1,52.6
Kevin Müller 586,ESP,DF,Stuttgart,Bundesliga,21,6,2,214,1,4,5,1,0,0,5,0,0.02,0.02,0.1,0.12,34,27,74,0.42,1.68,0.01,24.9
Robert Martinez 587,SEN,DF,Stuttgart,Bundesliga,23,12,4,508,1,2,3,1,0,1,4,0,1.09,1.09,1.57,2.66,20,104,16,0.18,0.35,0.19,20.6
Luca Fischer 588,BEL,DF,Stuttgart,Bundesliga,21,20,5,765,2,1,3,2,0,0,2,0,3.65,3.65,6.22,9.87,18,82,19,0.24,0.12,0.43,30.1
Marco Rossi 589,POR,MF,Stuttgart,Bundesliga,27,30,8,1538,4,6,10,4,0,0,2,0,0.72,0.72,0.7,1.42,47,126,178,0.23,0.35,0.04,102.1
James Rodríguez 590,COL,DF,Stuttgart,Bundesliga,26,7,6,341,4,1,5,4,0,0,6,0,0.48,0.48,2.63,3.11,73,67,32,1.06,0.26,0.13,25.3
Carlos Schneider 591,POL,GK,Stuttgart,Bundesliga,31,20,2,866,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,12,2,0.0,0.0,0.0,11.9
Luis Dupont 592,COL,DF,Stuttgart,Bundesliga,28,28,12,1116,0,1,1,0,0,0,6,0,1.8,1.8,1.83,3.63,33,53,60,0.0,0.08,0.15,16.9
Antoine Hernández 593,URU,MF,Stuttgart,Bundesliga,21,9,3,408,5,7,12,5,0,0,2,0,6.28,6.28,0.94,7.22,109,222,97,1.1,1.54,1.39,114.6
Kai Meyer 594,POR,DF,Stuttgart,Bundesliga,23,15,5,760,2,4,6,2,0,0,3,0,0.5,0.5,0.24,0.74,55,91,23,0.24,0.47,0.06,46.2
Jude Silva 595,GER,DF,Stuttgart,Bundesliga,27,33,10,1394,2,0,2,2,0,0,3,0,4.72,4.72,2.84,7.56,14,48,57,0.13,0.0,0.3,16.5
Vinicius González 596,COL,FW,Stuttgart,Bundesliga,27,11,6,379,10,5,15,10,0,0,0,0,17.39,17.39,11.39,28.78,165,74,78,2.37,1.19,4.13,200.0
Erling Weber 597,SEN,MF,Mainz,Bundesliga,22,10,9,761,2,9,11,2,0,0,6,0,2.11,2.11,5.69,7.8,118,95,67,0.24,1.06,0.25,108.9
Kylian Santos 598,COL,MF,Mainz,Bundesliga,17,24,22,1654,4,5,9,4,0,1,1,0,3.85,3.85,0.7,4.55,115,65,155,0.22,0.27,0.21,64.9
Pedri Pérez 599,CRO,MF,Mainz,Bundesliga,23,20,17,1263,1,4,5,1,0,0,4,0,4.72,4.72,4.97,9.69,98,258,137,0.07,0.29,0.34,32.5
Gavi Smith 600,BRA,FW,Mainz,Bundesliga,30,11,4,606,13,9,22,12,1,2,1,0,10.35,9.59,3.99,13.58,61,67,112,1.93,1.34,1.54,200.0
Bukayo López 601,CRO,MF,Mainz,Bundesliga,31,30,24,1980,3,6,9,3,0,0,1,0,0.36,0.36,10.15,10.51,105,148,166,0.14,0.27,0.02,94.1
Trent Wagner 602,MAR,DF,Mainz,Bundesliga,31,28,5,1154,1,1,2,1,0,0,3,0,0.52,0.52,1.42,1.94,39,129,38,0.08,0.08,0.04,27.2
Phil Garcia 603,ESP,MF,Mainz,Bundesliga,18,11,7,561,1,6,7,1,0,0,3,0,10.45,10.45,5.28,15.73,47,103,139,0.16,0.96,1.68,59.4
Harry Fernández 604,POR,GK,Mainz,Bundesliga,19,17,11,1114,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,3,0.0,0.0,0.0,12.6
Son Becker 605,POR,MF,Mainz,Bundesliga,17,18,17,976,7,9,16,7,0,0,6,0,2.43,2.43,3.81,6.24,59,252,150,0.65,0.83,0.22,138.3
